"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
"Solyc09g098110.3",305.077887440752,2.13909995345165,0.191044283651702,1.40538309359259e-30,2.8307226271142e-26,"Solyc09g098110.3"
"Solyc02g084980.3",377.791434378002,-3.22515956580191,0.31764811692474,7.86894719798371e-27,5.28321114872626e-23,"Solyc02g084980.3"
"Solyc01g005470.3",2721.86989461055,2.32630597360117,0.229445309364011,6.4040104398971e-26,3.22473945701019e-22,"Solyc01g005470.3"
"Solyc06g050980.3",4904.58993368971,-1.74686525281039,0.170133102361275,1.17025152616248e-25,4.71424124799294e-22,"Solyc06g050980.3"
"Solyc09g075420.3",1684.74282090619,2.10310003673014,0.219571736219109,3.68912604294352e-23,1.23843961261614e-19,"Solyc09g075420.3"
"Solyc04g072700.3",47.7197665064997,-4.28210281107831,0.482273377175052,7.58301829427042e-22,2.18195934975993e-18,"Solyc04g072700.3"
"Solyc07g052370.3",106.145771364566,4.97894035075099,0.578604289748322,4.13208061951428e-21,1.04035459797821e-17,"Solyc07g052370.3"
"Solyc10g085500.2",10.6299692470311,2.63083413416224,0.307124153350784,7.26660400652349e-20,1.62626597665996e-16,"Solyc10g085500.2"
"Solyc00g013160.2",90.1807946129873,-3.75283747807329,0.452810696832644,1.74343220809422e-19,3.51162115354337e-16,"Solyc00g013160.2"
"Solyc04g011767.1",118.565090565572,1.85684714705021,0.214243968190783,3.70781026299941e-19,6.78933766521219e-16,"Solyc04g011767.1"
"Solyc03g113960.3",253.368675701368,1.05267966979401,0.122380728051906,8.775783245303e-19,1.35970635482225e-15,"Solyc03g113960.3"
"Solyc11g010130.2",28.4671324832395,-2.2856508436328,0.271984032206751,8.51273720281816e-19,1.35970635482225e-15,"Solyc11g010130.2"
"Solyc07g053270.3",370.053016727679,-1.53856230434929,0.180440097416324,2.79408903546199e-18,4.01989581087681e-15,"Solyc07g053270.3"
"Solyc04g058160.2",125.520662965004,-1.69425802079094,0.20060313439265,3.97970532271531e-18,5.34394830734212e-15,"Solyc04g058160.2"
"Solyc04g007060.3",543.043359698635,1.23352318549975,0.147205895725296,1.0523218056541e-17,1.3247416130928e-14,"Solyc04g007060.3"
"Solyc05g053380.3",24.5979989846654,-1.97705825290225,0.242450014822803,1.97188939119678e-17,2.33634094808739e-14,"Solyc05g053380.3"
"Solyc07g042510.3",327.068278898715,4.07573498876561,0.542948895856253,6.5564778081175e-17,6.28859885767156e-14,"Solyc07g042510.3"
"Solyc07g054145.1",459.638789956751,-2.01793381938925,0.254767754469586,1.15352932234655e-16,1.05610852775928e-13,"Solyc07g054145.1"
"Solyc02g077240.3",522.027901929482,2.92643434873625,0.388589677865281,1.7694313906738e-16,1.54956030743268e-13,"Solyc02g077240.3"
"Solyc09g055940.3",413.328921561754,-1.53113581495404,0.191145682791304,2.09351039345808e-16,1.75697859770969e-13,"Solyc09g055940.3"
"Solyc00g272810.1",1216.52900192902,2.06442067866013,0.26429230070986,2.36054239427258e-16,1.90184179621753e-13,"Solyc00g272810.1"
"Solyc03g095780.2",33.3895977770437,3.54688903528387,0.483292325528589,3.46004294016402e-16,2.68046865003015e-13,"Solyc03g095780.2"
"Solyc04g076220.3",154.084857314083,2.22604851490112,0.290057183971613,3.97090478317745e-16,2.96229496825038e-13,"Solyc04g076220.3"
"Solyc07g055260.3",346.672286524856,-1.41251136105279,0.178893932586159,5.98519390320942e-16,4.30549198565872e-13,"Solyc07g055260.3"
"Solyc04g007170.3",187.991501553397,1.58626112839421,0.201947608841271,6.57714139218769e-16,4.50443522259657e-13,"Solyc04g007170.3"
"Solyc04g011750.3",158.231995642765,2.30208622046988,0.30396244704779,6.70901880041193e-16,4.50443522259657e-13,"Solyc04g011750.3"
"Solyc07g045145.1",52.8529815763072,-3.27870641109616,0.454026911222029,1.07141418153234e-15,6.74388263888264e-13,"Solyc07g045145.1"
"Solyc09g092480.2",846.1064263953,-2.57806234188114,0.348373191623727,1.06767299107175e-15,6.74388263888264e-13,"Solyc09g092480.2"
"Solyc06g075650.3",135.693094745261,-2.5229794815992,0.342136131213697,1.52065410165968e-15,9.28151967140283e-13,"Solyc06g075650.3"
"Solyc07g008550.3",65.5219549004153,2.22216707225644,0.299335415113157,2.75022749935056e-15,1.62926712623291e-12,"Solyc07g008550.3"
"Solyc02g080410.3",422.000468083034,1.2744560174872,0.165792020926823,2.9483060633625e-15,1.64957724245132e-12,"Solyc02g080410.3"
"Solyc05g005000.3",284.488229679232,-1.20917400710816,0.157525167035211,2.87240705295743e-15,1.64957724245132e-12,"Solyc05g005000.3"
"Solyc03g095650.3",1204.48549458815,-1.62769790964181,0.212893386581511,3.1001657630081e-15,1.68766321077052e-12,"Solyc03g095650.3"
"Solyc02g062590.3",92.8969115933485,-3.2174429448625,0.459080076154022,5.34286942243098e-15,2.83200199754223e-12,"Solyc02g062590.3"
"Solyc08g075710.3",531.792484748885,1.26564819089016,0.166565089024398,5.74046013854307e-15,2.96472687462909e-12,"Solyc08g075710.3"
"Solyc07g006760.3",262.130148646137,-1.3541559884672,0.180285310159792,1.18581700445104e-14,5.97118152591323e-12,"Solyc07g006760.3"
"Solyc08g021820.3",78.5883044463857,3.01663851004392,0.436604135167835,1.445527075493e-14,7.1014161840439e-12,"Solyc08g021820.3"
"Solyc06g068440.3",145.620794913834,-1.49639388022672,0.20167269351659,2.15930379031837e-14,1.03554040344268e-11,"Solyc06g068440.3"
"Solyc08g083280.3",275.851561952034,1.97486545671991,0.272452045657658,2.32829642227928e-14,1.09061736133835e-11,"Solyc08g083280.3"
"Solyc09g011700.1",10.9537809221496,-4.5317959186764,0.693688021998141,3.56552554044235e-14,1.63220035080886e-11,"Solyc09g011700.1"
"Solyc03g007790.3",77.8701416077893,-4.11139332275417,0.623780526202899,3.80856364423869e-14,1.70471308716124e-11,"Solyc03g007790.3"
"Solyc08g065320.3",112.494679106961,1.43010817273075,0.194784009809388,4.0991955128196e-14,1.7949129569394e-11,"Solyc08g065320.3"
"Solyc03g121180.3",195.8878003178,1.82248926181422,0.252055722977866,4.25722473890085e-14,1.82444724874343e-11,"Solyc03g121180.3"
"Solyc09g082630.3",614.259145045282,-1.41010485557452,0.192458576637306,4.63482488098063e-14,1.9448883906815e-11,"Solyc09g082630.3"
"Solyc01g073860.3",19.6085917868337,3.49801860663283,0.529207686018959,5.9903185725693e-14,2.4623876875243e-11,"Solyc01g073860.3"
"Solyc02g071920.3",48.9419119965005,1.31552499842143,0.180587912134828,6.24472914088037e-14,2.51562668711225e-11,"Solyc02g071920.3"
"Solyc07g007620.3",394.302965303112,-1.94982401454441,0.275887766344462,9.3843964268003e-14,3.7062845652669e-11,"Solyc07g007620.3"
"Solyc11g068530.1",88.8240155482236,-1.76004776029883,0.246538675617559,9.85348369992365e-14,3.8167090131512e-11,"Solyc11g068530.1"
"Solyc03g119530.3",1779.23982689362,2.00516009619063,0.285519603794445,1.07877131896352e-13,4.04040559205483e-11,"Solyc03g119530.3"
"Solyc10g078230.2",20.6777822214053,3.6115428115752,0.555428906292587,1.08321865738735e-13,4.04040559205483e-11,"Solyc10g078230.2"
"Solyc08g076060.3",305.13273632087,-1.50680239143003,0.21048677757168,1.44535938516977e-13,5.29316886110718e-11,"Solyc08g076060.3"
"Solyc02g068580.1",17.514268529739,5.56692315804972,0.939005611018624,1.61400053042917e-13,5.80521405069719e-11,"Solyc02g068580.1"
"Solyc07g026650.3",103.014357001965,4.34141975458712,0.690960419746296,2.09979724701764e-13,7.29208899128091e-11,"Solyc07g026650.3"
"Solyc10g005040.3",176.717591903689,-2.21242729432889,0.323927397257518,2.09276678601532e-13,7.29208899128091e-11,"Solyc10g005040.3"
"Solyc01g096320.3",156.961530731575,-3.79548265260667,0.597557372230017,2.3758833722288e-13,7.92351649332251e-11,"Solyc01g096320.3"
"Solyc03g120320.1",53.642822032802,-3.52512088381458,0.551411912286796,2.39963512110353e-13,7.92351649332251e-11,"Solyc03g120320.1"
"Solyc02g067580.3",467.206949121866,1.60841912250252,0.228444543071961,2.84148590830856e-13,9.23116276857276e-11,"Solyc02g067580.3"
"Solyc02g092160.3",641.245789383097,-1.09437509406861,0.156370933734918,2.91369620170791e-13,9.31550299917471e-11,"Solyc02g092160.3"
"Solyc08g006760.3",531.039788870622,1.50339830285235,0.21344582773875,3.30109512587587e-13,1.02293320039064e-10,"Solyc08g006760.3"
"Solyc10g078720.2",48.7573660178294,-2.62795866244276,0.399957584690859,3.43409448169178e-13,1.04802319773085e-10,"Solyc10g078720.2"
"Solyc04g005380.3",41.4573201096289,-2.99999299714184,0.466147284139479,3.70750048544696e-13,1.11457425041601e-10,"Solyc04g005380.3"
"Solyc08g066020.2",218.448435699055,2.32489179203477,0.347968337584001,4.00929814185956e-13,1.1715913658509e-10,"Solyc08g066020.2"
"Solyc11g006900.1",38.271032266516,1.31364923940342,0.187016306624996,4.0134944019319e-13,1.1715913658509e-10,"Solyc11g006900.1"
"Solyc04g076780.3",336.142074368558,2.57642516190897,0.393836777343584,4.78785295306326e-13,1.37767048829429e-10,"Solyc04g076780.3"
"Solyc06g070990.3",14.0853047836639,3.00638763319918,0.471041696316496,5.19122405035849e-13,1.45224492808779e-10,"Solyc06g070990.3"
"Solyc04g016210.3",72.6933172031708,-1.65199845041876,0.238065332194771,5.30592446613766e-13,1.46399904927321e-10,"Solyc04g016210.3"
"Solyc01g100370.3",645.482141476477,1.22711066968452,0.176638678557981,6.11992395244333e-13,1.64356677666818e-10,"Solyc01g100370.3"
"Solyc06g008450.3",58.7242253701806,1.67775456784787,0.244099457826991,7.93144418737776e-13,2.10204143187056e-10,"Solyc06g008450.3"
"Solyc12g006000.1",23.1114487111423,-2.18001493535005,0.328241623931997,8.48465774093592e-13,2.21945423659651e-10,"Solyc12g006000.1"
"Solyc02g086530.3",802.225582013951,-2.96780345262626,0.470728370643289,9.20190059034998e-13,2.37621386783114e-10,"Solyc02g086530.3"
"Solyc10g079970.2",92.4550595820687,1.41173424100559,0.204761180389328,1.00624301136214e-12,2.53346834185703e-10,"Solyc10g079970.2"
"Solyc04g009910.3",48.4623402534731,-1.90139077525219,0.281864349928485,1.03671014598857e-12,2.57795256302492e-10,"Solyc04g009910.3"
"Solyc12g056750.2",136.674426566115,-1.7994360409669,0.265470320138048,1.11859657121615e-12,2.74765513871166e-10,"Solyc12g056750.2"
"Solyc02g090120.1",52.643224988527,2.7845229571141,0.440265021748073,1.18080851509999e-12,2.83240335789784e-10,"Solyc02g090120.1"
"Solyc04g049350.3",1579.10617588937,1.15926040618355,0.169800963893089,1.18122272894161e-12,2.83240335789784e-10,"Solyc04g049350.3"
"Solyc05g006390.1",1127.01324635363,-1.44952252876027,0.211489555102088,1.30397456092716e-12,3.08995948308176e-10,"Solyc05g006390.1"
"Solyc01g073830.1",22.3149504082758,2.60614017946437,0.409544941631445,1.43083383334882e-12,3.31262701969104e-10,"Solyc01g073830.1"
"Solyc07g005760.3",485.093073405035,1.38582043193548,0.203499853822152,1.80601582552342e-12,4.1337239497378e-10,"Solyc07g005760.3"
"Solyc06g061170.3",78.8449786291451,1.76567147776156,0.2635659378973,2.10070605292193e-12,4.75420464246669e-10,"Solyc06g061170.3"
"Solyc10g085920.2",139.203302686394,-1.37182728000374,0.202266416058889,2.17826394099755e-12,4.87495469995252e-10,"Solyc10g085920.2"
"Solyc06g076400.3",219.917385393764,-1.5912363907946,0.235783892126619,2.22518104843047e-12,4.92523040411939e-10,"Solyc06g076400.3"
"Solyc08g078870.2",325.000167377233,3.98588788891372,0.671550086788798,2.44879041796399e-12,5.36125397811203e-10,"Solyc08g078870.2"
"Solyc08g080670.2",873.311464366077,4.588128567223,0.798483043430215,3.39431698479326e-12,7.35143362448449e-10,"Solyc08g080670.2"
"Solyc04g015460.3",53.5438095934727,1.63692488426269,0.245410792672973,3.46290714097944e-12,7.39427858225986e-10,"Solyc04g015460.3"
"Solyc07g045350.3",316.017251206637,1.55706574487702,0.232724661048549,3.48752092798474e-12,7.39427858225986e-10,"Solyc07g045350.3"
"Solyc07g008240.3",536.768051160908,4.62926745298821,0.811647521486654,4.01150602528835e-12,8.34748270322391e-10,"Solyc07g008240.3"
"Solyc09g090040.3",893.044381481339,1.16801961413162,0.17568605172155,4.0199872019299e-12,8.34748270322391e-10,"Solyc09g090040.3"
"Solyc12g100270.2",658.567477556411,2.66894981962884,0.432931334293037,4.33264444186435e-12,8.90491064775834e-10,"Solyc12g100270.2"
"Solyc01g097830.2",51.407237321262,-2.810579800247,0.460517322748126,4.55078310769618e-12,9.16618733552165e-10,"Solyc01g097830.2"
"Solyc05g052670.1",445.856540251976,2.80227995963925,0.459370126733165,4.71853427225249e-12,9.40997201106036e-10,"Solyc05g052670.1"
